Class.,Jogador,Nação,Pos.,Equipe,Idade,Nascimento,90s,Gols,TC,CaG,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PB,PT,Partidas,-9999
80,Lucas Brochero,ar ARG,LT,Arsenal,24-024,1999,1.3,0,0,0,,000,000,,,,0,0,Partidas,2aaca0b8
81,Julio Buffarini,ar ARG,ZG,Talleres,34-182,1988,0.7,0,1,0,00,153,000,000,,,0,0,Partidas,66d9f8ee
82,Valentín Burgoa,ar ARG,LT,CA Huracán,23-039,2000,0.2,0,0,0,,000,000,,,,0,0,Partidas,f99cfccb
83,Leonardo Burián,uy URU,G,Vélez Sarsf,39-026,1984,3.0,0,0,0,,000,000,,,,0,0,Partidas,c3cc43dc
84,Nahuel Bustos,ar ARG,AT,Talleres,24-227,1998,0.9,1,6,1,167,684,114,017,100,,0,0,Partidas,8f774c7f
85,Rodrigo Cabral,ar ARG,LT,Argentinos Jun,22-192,2000,2.1,1,5,2,400,236,094,020,050,,0,0,Partidas,9c874e17
86,Yonathan Cabral,ar ARG,ZG,Tucumán,30-282,1992,3.0,0,2,1,500,067,033,000,000,,0,0,Partidas,40424ddf
87,Alejandro Cabrera,ar ARG,LT,Banfield,30-139,1992,2.0,0,1,1,1000,051,051,000,000,,0,0,Partidas,8668884d
88,Elías Cabrera,ar ARG,AT,Vélez Sarsf,19-356,2003,0.1,0,0,0,,000,000,,,,0,0,Partidas,4874cad4
89,Javier Cabrera,uy URU,ATLT,Argentinos Jun,30-335,1992,0.3,0,0,0,,000,000,,,,0,0,Partidas,1ebd3fa2
90,Víctor Cabrera,ar ARG,ZG,Tigre,30-009,1993,2.0,0,0,0,,000,000,,,,0,0,Partidas,2332941c
91,Jerónimo Cacciabue,ar ARG,LT,Platense,25-026,1998,3.0,0,2,0,00,067,000,000,,,0,0,Partidas,a8456000
92,Darío Cáceres,py PAR,LT,Defensa y Just,25-021,1998,0.8,0,1,0,00,120,000,000,,,0,0,Partidas,18637ecc
93,Juan Cáceres,ar ARG,ZG,Racing Club,22-260,2000,0.4,0,0,0,,000,000,,,,0,0,Partidas,db887bdf
